=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.06 19:18:47 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32c3-api1-20210207
 Y: -3.96, Z: 11.75 m/s^2
Rotation X: 0.00, Y: -0.20, Z: -0.13 rad/s

Acceleration X: -0.72, Y: -1.21, Z: 10.54 m/s^2
Rotation X: -0.10, Y: -0.04, Z: 0.01

Acceleration X: -0.97, Y: -0.96, Z: 10.83 m/s^2
Rotation X: 0.04, Y: 0.10, Z: -0.06 rad/s

Acceleration X: 1.01, Y: -1.30, Z: 10.65 m/s^2
Rotation X: 0.07, Y: 0.08, Z: 0.07 rad/s

Acceleration X: -0.17, Y: -1.13, Z: 10.78 m/s^2
Rotation X: -0.01, Y: 0.15, Z: -0.10 rad/s

Acceleration X: -0.16, Y: -1.90, Z: 10.79 m/s^2
Rotation X: -0.14, Y: -0.02, Z: 0.03 rad/s

Acceleration X: 0.00, Y: -1.32, Z: 9.79 m/s^2
Rotation X: 0.01, Y: 0.04, Z: -0.13 rad/s

Acceleration X: -0.48, Y: -1.73, Z: 10.85 m/s^2
Rotation X: -0.13, Y: -0.14, Z: -0.06 rad/s

Acceleration X: -0.31, Y: -1.80, Z: 11.00 m/s^2
Rotation X: -0.13, Y: -0.00, Z: 0.07 rad/s

Acceleration X: -0.48, Y: -1.88, Z: 10.81 m/s^2
Rotation X: -0.04, Y: -0.03, Z: -0.01 rad/s

Acceleration X: -0.27, Y: -1.92, Z: 10.90 m/s^2
Rotation X: -0.06, Y: -0.00, Z: 0.00 rad/s

Acceleration X: -0.19, Y: -1.87, Z: 11.00 m/s^2
Rotation X: -0.08, Y: -0.01, Z: -0.01 rad/s

Acceleration X: -0.32, Y: -1.82, Z: 10.86 m/s^2
Rotation X: -0.02, Y: 0.04, Z: 0.03 rad/s

Acceleration X: -0.46, Y: -0.81, Z: 11.28 m/s^2
Rotation X: 0.04, Y: 0.10, Z: 0.21 rad/s

Acceleration X: 0.03, Y: -4.66, Z: 9.28 m/s^2
Rotation X: 0.16, Y: -0.22, Z: 0.53 rad/s

Acceleration X: 0.34, Y: 0.44, Z: 12.83 m/s^2
Rotation X: 0.13, Y: -0.16, Z: -0.55 rad/s

Acceleration X: 4.71, Y: -2.18, Z: 9.34 m/s^2
Rotation X: -0.65, Y: 0.15, Z: 0.94 rad/s

Acceleration X: 1.39, Y: -0.27, Z: 10.89 m/s^2
Rotation X: -0.03, Y: -0.09, Z: 0.91 rad/s

Acceleration X: 0.27, Y: -0.85, Z: 11.57 m/s^2
Rotation X: -0.16, Y: 0.07, Z: 0.28 rad/s

Acceleration X: 0.08, Y: -1.73, Z: 11.14 m/s^2
Rotation X: 0.07, Y: 0.16, Z: -0.82 rad/s

Acceleration X: 0.96, Y: -1.74, Z: 11.25 m/s^2
Rotation X: -0.09, Y: -0.09, Z: -0.22 rad/s

Acceleration X: 1.80, Y: -1.24, Z: 10.91 m/s^2
Rotation X: 0.06, Y: -0.01, Z: 0.34 rad/s

Acceleration X: 1.20, Y: -0.90, Z: 10.75 m/s^2
Rotation X: 0.02, Y: 0.01, Z: 0.63 rad/s

Acceleration X: -0.61, Y: -0.31, Z: 10.69 m/s^2
Rotation X: -0.21, Y: -0.31, Z: 0.62 rad/s

Acceleration X: -0.04, Y: -1.31, Z: 11.14 m/s^2
Rotation X: 0.05, Y: 0.05, Z: -0.67 rad/s

Acceleration X: 1.03, Y: -2.02, Z: 10.73 m/s^2
Rotation X: -0.10, Y: 0.04, Z: -0.44 rad/s

Acceleration X: 1.19, Y: -0.65, Z: 10.65 m/s^2
Rotation X: 0.02, Y: -0.42, Z: 0.40 rad/s

Acceleration X: 0.54, Y: 0.21, Z: 11.29 m/s^2
Rotation X: -0.03, Y: -0.01, Z: 0.55 rad/s

Acceleration X: -0.27, Y: 0.02, Z: 11.24 m/s^2
Rotation X: -0.20, Y: 0.02, Z: 0.42 rad/s

Acceleration X: -1.13, Y: -0.79, Z: 11.21 m/s^2
Rotation X: 0.06, Y: 0.05, Z: -0.37 rad/s

Acceleration X: 0.63, Y: -1.95, Z: 11.17 m/s^2
Rotation X: -0.06, Y: 0.11, Z: -0.57 rad/s

Acceleration X: 1.22, Y: -1.58, Z: 11.14 m/s^2
Rotation X: -0.16, Y: 0.21, Z: -0.03 rad/s

Acceleration X: 0.25, Y: -1.07, Z: 11.07 m/s^2
Rotation X: -0.07, Y: -0.07, Z: 0.63 rad/s

Acceleration X: -0.17, Y: -0.80, Z: 10.99 m/s^2
Rotation X: -0.20, Y: -0.21, Z: 0.34 rad/s

Acceleration X: -0.97, Y: -1.27, Z: 11.41 m/s^2
Rotation X: 0.10, Y: -0.05, Z: -0.49 rad/s

Acceleration X: -0.23, Y: -2.24, Z: 10.56 m/s^2
Rotation X: 0.26, Y: 0.24, Z: -0.31 rad/s

Acceleration X: 2.27, Y: -1.47, Z: 11.09 m/s^2
Rotation X: 0.02, Y: -0.20, Z: 0.61 rad/s

Acceleration X: 0.85, Y: 0.14, Z: 11.49 m/s^2
Rotation X: 0.01, Y: -0.03, Z: 0.59 rad/s

Acceleration X: -0.86, Y: 0.58, Z: 11.87 m/s^2
Rotation X: -0.06, Y: 0.04, Z: 0.10 rad/s

Acceleration X: -1.06, Y: -2.07, Z: 10.56 m/s^2
Rotation X: 0.35, Y: 0.33, Z: -0.85 rad/s

Acceleration X: -0.17, Y: -3.12, Z: 10.55 m/s^2
Rotation X: 0.04, Y: 0.03, Z: 0.25 rad/s

Acceleration X: 1.24, Y: -0.87, Z: 10.95 m/s^2
Rotation X: 0.11, Y: -0.44, Z: 0.80 rad/s

Acceleration X: 0.93, Y: 2.01, Z: 10.61 m/s^2
Rotation X: -0.04, Y: -0.26, Z: 0.83 rad/s

Acceleration X: -1.70, Y: 0.76, Z: 10.96 m/s^2
Rotation X: -0.12, Y: -0.30, Z: -1.36 rad/s

Acceleration X: 1.51, Y: -1.47, Z: 10.91 m/s^2
Rotation X: 0.07, Y: 0.29, Z: -0.45 rad/s

