=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.06 19:21:19 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32c3-api1-20210207
.88, Z: 10.94 m/s^2
Rotation X: -0.03, Y: -0.03, Z: -0.01 rad/s

Acceleration X: 1.08, Y: 1.91, Z: 10.84 m/s^2
Rotation X: -0.04, Y: -0.02, Z: -0.01 rad/s

Acceleration X: 0.94, Y: 1.89, Z: 10.92 m/s^2
Rotation X: -0.03, Y: -0.03, Z: -0.01 rad/s

Acceleration X: 1.02, Y: 2.48, Z: 10.87 m/s^2
Rotation X: -0.02, Y: -0.00, Z: -0.11 rad/s

Acceleration X: 0.84, Y: 3.10, Z: 8.18 m/s^2
Rotation X: 0.27, Y: -2.63, Z: -0.59 rad/s

Acceleration X: 2.56, Y: -2.85, Z: 9.54 m/s^2
Rotation X: -0.00, Y: 0.06, Z: 1.14 rad/s

Acceleration X: 4.12, Y: -0.78, Z: 9.66 m/s^2
Rotation X: -0.04, Y: -0.30, Z: -0.19 rad/s

Acceleration X: 4.56, Y: -0.71, Z: 10.07 m/s^2
Rotation X: -0.26, Y: -0.20, Z: -0.19 rad/s

Acceleration X: 4.41, Y: 0.33, Z: 10.66 m/s^2
Rotation X: 0.17, Y: 0.21, Z: 0.18 rad/s

Acceleration X: 3.31, Y: 0.72, Z: 10.99 m/s^2
Rotation X: 0.13, Y: -0.29, Z: 0.19 rad/s

Acceleration X: 0.49, Y: -0.75, Z: 11.39 m/s^2
Rotation X: 0.20, Y: 0.05, Z: 0.16 rad/s

Acceleration X: 3.79, Y: -0.65, Z: 9.31 m/s^2
Rotation X: 0.13, Y: 0.12, Z: 0.33 rad/s

Acceleration X: 0.16, Y: -0.54, Z: 12.33 m/s^2
Rotation X: -0.01, Y: -0.01, Z: 0.33 rad/s

Acceleration X: 2.53, Y: 0.39, Z: 11.18 m/s^2
Rotation X: -0.03, Y: 0.09, Z: 0.45 rad/s

Acceleration X: 2.61, Y: -0.76, Z: 11.30 m/s^2
Rotation X: 0.02, Y: -0.12, Z: 0.16 rad/s

Acceleration X: 4.27, Y: -0.30, Z: 10.48 m/s^2
Rotation X: -0.13, Y: 0.22, Z: 0.05 rad/s

Acceleration X: 3.23, Y: -1.03, Z: 9.95 m/s^2
Rotation X: -0.06, Y: -0.20, Z: -0.18 rad/s

Acceleration X: 2.81, Y: -0.83, Z: 11.34 m/s^2
Rotation X: 0.06, Y: -0.03, Z: 0.06 rad/s

Acceleration X: 3.00, Y: -0.50, Z: 10.90 m/s^2
Rotation X: -0.02, Y: -0.07, Z: 0.10 rad/s

Acceleration X: 2.08, Y: -0.88, Z: 11.15 m/s^2
Rotation X: -0.16, Y: -0.55, Z: -0.39 rad/s

Acceleration X: 4.44, Y: 0.60, Z: 9.52 m/s^2
Rotation X: 0.33, Y: -0.12, Z: -0.27 rad/s

Acceleration X: 1.50, Y: -0.43, Z: 10.97 m/s^2
Rotation X: -0.15, Y: -0.11, Z: -0.33 rad/s

Acceleration X: 0.14, Y: -1.59, Z: 11.27 m/s^2
Rotation X: -0.15, Y: 0.25, Z: 0.01 rad/s

Acceleration X: 2.64, Y: -1.31, Z: 10.31 m/s^2
Rotation X: -0.40, Y: -0.08, Z: -0.17 rad/s

Acceleration X: 1.01, Y: -1.51, Z: 11.20 m/s^2
Rotation X: 0.25, Y: -0.01, Z: -0.16 rad/s

Acceleration X: 1.28, Y: -1.54, Z: 10.76 m/s^2
Rotation X: -0.14, Y: 0.41, Z: 0.35 rad/s

Acceleration X: 2.55, Y: -0.17, Z: 10.96 m/s^2
Rotation X: -0.15, Y: 0.05, Z: -0.14 rad/s

Acceleration X: 4.38, Y: 1.09, Z: 10.82 m/s^2
Rotation X: -0.31, Y: 0.09, Z: -0.16 rad/s

Acceleration X: 3.32, Y: 0.24, Z: 10.10 m/s^2
Rotation X: 0.02, Y: 0.28, Z: 0.45 rad/s

Acceleration X: 3.15, Y: 0.90, Z: 10.16 m/s^2
Rotation X: 0.11, Y: -0.50, Z: -0.18 rad/s

Acceleration X: -1.54, Y: -1.45, Z: 11.51 m/s^2
Rotation X: 0.17, Y: -0.37, Z: 0.20 rad/s

Acceleration X: -1.65, Y: -0.63, Z: 13.26 m/s^2
Rotation X: 0.06, Y: -0.24, Z: 0.17 rad/s

Acceleration X: 3.78, Y: -0.10, Z: 9.61 m/s^2
