=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.06 19:20:05 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32c3-api1-20210207
n X: -1.15, Y: 0.80, Z: 11.08 m/s^2
Rotation X: 0.02, Y: -0.03, Z: -0.03 rad/s

Acceleration X: -0.77, Y: 0.91, Z: 10.99 m/s^2
Rotation X: -0.08, Y: -0.01, Z: -0.03 rad/s

-1.00, Y: 0.84, Z: 11.01 m/s^2
Rotation X: -0.03, Y: -0.06, Z: 0.00 rad/s

Acceleration X: -0.91, Y: 0.77, Z: 10.91 m/s^2
Rotation X: -0.04, Y: -0.00, Z: -0.01 rad/s

Acceleration X: -0.74, Y: 0.89, Z: 10.94 m/s^2
Rotation X: -0.05, Y: 0.03, Z: -0.04 rad/s

Acceleration X: -1.07, Y: 0.88, Z: 11.00 m/s^2
Rotation X: -0.05, Y: 0.02, Z: -0.01 rad/s

Acceleration X: -1.00, Y: 1.01, Z: 11.06 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -0.88, Y: 1.15, Z: 11.07 m/s^2
Rotation X: -0.03, Y: 0.01, Z: -0.03 rad/s

Acceleration X: -0.93, Y: 1.05, Z: 11.03 m/s^2
Rotation X: -0.04, Y: -0.03, Z: -0.03 rad/s

Acceleration X: -1.10, Y: 0.83, Z: 10.80 m/s^2
Rotation X: -0.05, Y: 0.01, Z: -0.03 rad/s

Acceleration X: -1.14, Y: 1.06, Z: 11.03 m/s^2
Rotation X: -0.03, Y: -0.03, Z: -0.02 rad/s

Acceleration X: -1.20, Y: 0.91, Z: 10.91 m/s^2
Rotation X: -0.04, Y: 0.01, Z: -0.09 rad/s

Acceleration X: -1.68, Y: 0.74, Z: 10.89 m/s^2
Rotation X: -0.07, Y: -0.02, Z: -0.04 rad/s

Acceleration X: -1.64, Y: 0.80, Z: 10.92 m/s^2
Rotation X: -0.05, Y: -0.02, Z: -0.04 rad/s

Acceleration X: -1.79, Y: 0.61, Z: 10.96 m/s^2
Rotation X: -0.06, Y: -0.04, Z: 0.01 rad/s

Acceleration X: -1.72, Y: 0.57, Z: 10.89 m/s^2
Rotation X: -0.02, Y: -0.05, Z: 0.01 rad/s

Acceleration X: -1.72, Y: 0.67, Z: 11.04 m/s^2
Rotation X: -0.06, Y: -0.11, Z: -0.02 rad/s

Acceleration X: -1.52, Y: 0.62, Z: 11.00 m/s^2
Rotation X: -0.13, Y: -0.23, Z: 0.04 rad/s

Acceleration X: -1.09, Y: 0.22, Z: 11.06 m/s^2
Rotation X: -0.06, Y: 0.10, Z: -0.05 rad/s

Acceleration X: -1.26, Y: 0.17, Z: 11.03 m/s^2
Rotation X: -0.05, Y: -0.02, Z: 0.03 rad/s

